t1,t2,cost,n_auto,n_manual,n_reject,appr_rate,manual_rate,reject_rate
0.15000000000000002,0.39999999999999997,325448.0,207473,36679,1856,0.8433587525608923,0.14909677734057428,0.007544470098533381
0.15000000000000002,0.41,325448.0,207473,36928,1607,0.8433587525608923,0.15010893954668142,0.0065323078924262624
0.15000000000000002,0.42,325448.0,207473,36928,1607,0.8433587525608923,0.15010893954668142,0.0065323078924262624
0.15000000000000002,0.42999999999999994,325448.0,207473,37670,865,0.8433587525608923,0.15312510162271145,0.0035161458163962146
0.15000000000000002,0.43999999999999995,325448.0,207473,38026,509,0.8433587525608923,0.15457220903385255,0.002069038405255114
0.15000000000000002,0.44999999999999996,325448.0,207473,38026,509,0.8433587525608923,0.15457220903385255,0.002069038405255114
0.15000000000000002,0.45999999999999996,325448.0,207473,38026,509,0.8433587525608923,0.15457220903385255,0.002069038405255114
0.15000000000000002,0.47,325448.0,207473,38026,509,0.8433587525608923,0.15457220903385255,0.002069038405255114
0.15000000000000002,0.48,325448.0,207473,38124,411,0.8433587525608923,0.1549705700627622,0.0016706773763454847
0.15000000000000002,0.49,325448.0,207473,38124,411,0.8433587525608923,0.1549705700627622,0.0016706773763454847
0.15000000000000002,0.49999999999999994,325448.0,207473,38124,411,0.8433587525608923,0.1549705700627622,0.0016706773763454847
0.15000000000000002,0.51,325448.0,207473,38126,409,0.8433587525608923,0.15497869987967872,0.0016625475594289616
0.15000000000000002,0.52,325448.0,207473,38126,409,0.8433587525608923,0.15497869987967872,0.0016625475594289616
0.15000000000000002,0.53,325448.0,207473,38126,409,0.8433587525608923,0.15497869987967872,0.0016625475594289616
0.15000000000000002,0.54,325448.0,207473,38126,409,0.8433587525608923,0.15497869987967872,0.0016625475594289616
0.15000000000000002,0.5499999999999999,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.5599999999999999,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.57,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.58,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.59,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.5999999999999999,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.6099999999999999,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.6199999999999999,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.6299999999999999,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
0.15000000000000002,0.6399999999999999,325448.0,207473,38495,40,0.8433587525608923,0.15647865110077722,0.0001625963383304608
